X,State,date,cases,Gather,lock_down,school_close,business_close,restaurant_close,quarantine,curfew,emergdec,travel,Mask,Social_Distancing,SD_relative,M_relative,LD_relative
118608,Kentucky,3/25/20,0,9,0,0,1,1,0,0,1,0,0,1,19,0,0
118730,Kentucky,3/26/20,5,9,1,0,1,1,0,0,1,0,0,1,20,0,0
118853,Kentucky,3/27/20,0,9,1,0,1,1,0,0,1,0,0,1,21,0,1
118975,Kentucky,3/28/20,0,9,1,0,1,1,0,0,1,0,0,1,22,0,2
119097,Kentucky,3/29/20,0,9,1,0,1,1,0,0,1,0,0,1,23,0,3
119219,Kentucky,3/30/20,0,9,1,0,1,1,0,0,1,0,0,1,24,0,4
119342,Kentucky,3/31/20,0,9,1,0,1,1,1,0,1,0,0,1,25,0,5
119464,Kentucky,4/1/20,0,9,1,0,1,1,1,0,1,0,0,1,26,0,6
119586,Kentucky,4/2/20,0,9,1,0,1,1,1,0,1,0,0,1,27,0,7
119708,Kentucky,4/3/20,3,9,1,0,1,1,1,0,1,0,0,1,28,0,8
119830,Kentucky,4/4/20,1,9,1,0,1,1,1,0,1,0,1,1,29,0,9
119952,Kentucky,4/5/20,3,9,1,0,1,1,1,0,1,0,1,1,30,1,10
120074,Kentucky,4/6/20,3,9,1,0,1,1,1,0,1,0,1,1,31,2,11
120196,Kentucky,4/7/20,3,9,1,0,1,1,1,0,1,0,1,1,32,3,12
120318,Kentucky,4/8/20,3,9,1,0,1,1,1,0,1,0,1,1,33,4,13
120440,Kentucky,4/9/20,6,9,1,0,1,1,1,0,1,0,1,1,34,5,14
120562,Kentucky,4/10/20,6,9,1,0,1,1,1,0,1,0,1,1,35,6,15
120684,Kentucky,4/11/20,6,9,1,0,1,1,1,0,1,0,1,1,36,7,16
120806,Kentucky,4/12/20,11,9,1,0,1,1,1,0,1,0,1,1,37,8,17
120928,Kentucky,4/13/20,11,9,1,0,1,1,1,0,1,0,1,1,38,9,18
121050,Kentucky,4/14/20,43,9,1,0,1,1,1,0,1,0,1,1,39,10,19
121172,Kentucky,4/15/20,43,9,1,0,1,1,1,0,1,0,1,1,40,11,20
121294,Kentucky,4/16/20,45,9,1,0,1,1,1,0,1,0,1,1,41,12,21
121416,Kentucky,4/17/20,45,9,1,0,1,1,1,0,1,0,1,1,42,13,22
121538,Kentucky,4/18/20,47,9,1,0,1,1,1,0,1,0,1,1,43,14,23
121660,Kentucky,4/19/20,53,9,1,0,1,1,1,0,1,0,1,1,44,15,24
121782,Kentucky,4/20/20,54,9,1,0,1,1,1,0,1,0,1,1,45,16,25
121904,Kentucky,4/21/20,3,9,1,0,1,1,1,0,1,0,1,1,46,17,26
122026,Kentucky,4/22/20,60,9,1,0,1,1,1,0,1,0,1,1,47,18,27
122148,Kentucky,4/23/20,63,9,1,0,1,1,1,0,1,0,1,1,48,19,28
122270,Kentucky,4/24/20,80,9,1,0,1,1,1,0,1,0,1,1,49,20,29
122392,Kentucky,4/25/20,83,9,1,0,1,1,1,0,1,0,1,1,50,21,30
122514,Kentucky,4/26/20,83,9,1,0,1,1,1,0,1,0,1,1,51,22,31
