"","State","Countynames","Code","FIPS","Population"
"177","Arkansas","Stone ","AR",5137,24914
"178","Arkansas","Union ","AR",5139,78252
"179","Arkansas","Van Buren ","AR",5141,33206
"180","Arkansas","Washington ","AR",5143,473922
"181","Arkansas","White ","AR",5145,157454
"182","Arkansas","Woodruff ","AR",5147,12980
"183","Arkansas","Yell ","AR",5149,43070
"184","California","Alameda ","CA",6001,3333506
"185","California","Alpine ","CA",6003,2202
"186","California","Amador ","CA",6005,78766
"187","California","Butte ","CA",6007,462512
"188","California","Calaveras ","CA",6009,91204
"189","California","Colusa ","CA",6011,43254
"190","California","Contra Costa ","CA",6013,2300430
"191","California","Del Norte ","CA",6015,55656
"192","California","El Dorado ","CA",6017,381356
"193","California","Fresno ","CA",6019,1988800
"194","California","Glenn ","CA",6021,56094
"195","California","Humboldt ","CA",6023,272746
"196","California","Imperial ","CA",6025,363654
"197","California","Inyo ","CA",6027,35974
"198","California","Kern ","CA",6029,1793528
"199","California","Kings ","CA",6031,302732
"200","California","Lake ","CA",6033,128764
"201","California","Lassen ","CA",6035,61604
"202","California","Los Angeles ","CA",6037,20211036
"203","California","Madera ","CA",6039,315344
"204","California","Marin ","CA",6041,519332
"205","California","Mariposa ","CA",6043,34942
"206","California","Mendocino ","CA",6045,175212
"207","California","Merced ","CA",6047,549530
"208","California","Modoc ","CA",6049,17554
"209","California","Mono ","CA",6051,28500
"210","California","Monterey ","CA",6053,871188
"211","California","Napa ","CA",6055,278834
"212","California","Nevada ","CA",6057,199392
"213","California","Orange ","CA",6059,6371936
"214","California","Placer ","CA",6061,786298
"215","California","Plumas ","CA",6063,37608
"216","California","Riverside ","CA",6065,4901516
"217","California","Sacramento ","CA",6067,3081950
"218","California","San Benito ","CA",6069,123074
"219","California","San Bernardino ","CA",6071,4343206
"220","California","San Diego ","CA",6073,6686728
"221","California","San Francisco ","CA",6075,1766610
"222","California","San Joaquin ","CA",6077,1505320
"223","California","San Luis Obispo ","CA",6079,568020
"224","California","San Mateo ","CA",6081,1539090
"225","California","Santa Barbara ","CA",6083,893054
"226","California","Santa Clara ","CA",6085,3875140
"227","California","Santa Cruz ","CA",6087,548510
"228","California","Shasta ","CA",6089,360080
"229","California","Sierra ","CA",6091,5974
"230","California","Siskiyou ","CA",6093,87448
"231","California","Solano ","CA",6095,893220
