"","FIPS","essential_job_numbers"
"579","16009 ",58335
"580","16011 ",82887
"581","16013 ",63092
"582","16015 ",23805
"583","16017 ",64365
"584","16019 ",47297
"585","16021 ",53110
"586","16023 ",63489
"587","16025 ",24581
"588","16027 ",39086
"589","16029 ",79923
"590","16031 ",77446
"591","16033 ",22463
"592","16035 ",23166
"593","16037 ",43093
"594","16039 ",77668
"595","16041 ",60003
"596","16043 ",33441
"597","16045 ",31062
"598","16047 ",65191
"599","16049 ",73172
"600","16051 ",74273
"601","16053 ",49373
"602","16055 ",90855
"603","16057 ",57219
"604","16059 ",74440
"605","16061 ",14374
"606","16063 ",12744
"607","16065 ",22602
"608","16067 ",66326
"609","16069 ",70170
"610","16071 ",26981
"611","16073 ",38354
"612","16075 ",67262
"613","16077 ",20425
"614","16079 ",74265
"615","16081 ",31664
"616","16083 ",43806
"617","16085 ",26702
"618","16087 ",44015
"619","17001 ",43544
"620","17003 ",29038
"621","17005 ",58036
"622","17007 ",59846
"623","17009 ",43411
"624","17011 ",31554
"625","17013 ",55545
"626","17015 ",63625
"627","17017 ",17882
"628","17019 ",59903
"629","17021 ",37707
"630","17023 ",62285
"631","17025 ",40205
"632","17027 ",58747
"633","17029 ",54353
"634","17031 ",60193
"635","17033 ",62923
"636","17035 ",32413
"637","17037 ",31220
"638","17039 ",43246
"639","17041 ",43525
"640","17043 ",93877
"641","17045 ",52809
"642","17047 ",8735
"643","17049 ",34655
"644","17051 ",46899
"645","17053 ",72515
"646","17055 ",68822
"647","17057 ",64718
"648","17059 ",39196
"649","17061 ",13059
"650","17063 ",15754
"651","17065 ",13231
"652","17067 ",75909
"653","17069 ",16494
"654","17071 ",39545
"655","17073 ",52156
"656","17075 ",55353
"657","17077 ",55121
"658","17079 ",44459
"659","17081 ",76683
"660","17083 ",31151
"661","17085 ",49295
"662","17087 ",39835
"663","17089 ",75192
"664","17091 ",43989
"665","17093 ",48172
"666","17095 ",41556
"667","17097 ",66819
"668","17099 ",75592
"669","17101 ",29362
"670","17103 ",91330
"671","17105 ",30874
"672","17107 ",44117
"673","17109 ",30175
"674","17111 ",40780
"675","17113 ",29509
"676","17115 ",48054
"677","17117 ",60445
"678","17119 ",70905
"679","17121 ",71379
"680","17123 ",32648
"681","17125 ",19707
"682","17127 ",26775
"683","17129 ",50697
"684","17131 ",47608
"685","17133 ",82462
"686","17135 ",84239
"687","17137 ",87806
"688","17139 ",43086
"689","17141 ",17124
"690","17143 ",58388
"691","17145 ",35819
"692","17147 ",40144
"693","17149 ",27221
"694","17151 ",18356
"695","17153 ",39585
"696","17155 ",36437
"697","17157 ",41001
"698","17159 ",77528
"699","17161 ",69050
"700","17163 ",90424
"701","17165 ",76552
"702","17167 ",59020
"703","17169 ",48671
"704","17171 ",36569
"705","17173 ",22912
"706","17175 ",35910
"707","17177 ",51275
"708","17179 ",65568
"709","17181 ",46524
"710","17183 ",32134
"711","17185 ",22748
"712","17187 ",51372
"713","17189 ",32177
"714","17191 ",40052
"715","17193 ",9143
"716","17195 ",44880
"717","17197 ",60663
"718","17199 ",37974
"719","17201 ",108224
"720","17203 ",23006
"721","18001 ",38060
"722","18003 ",49252
"723","18005 ",26895
"724","18007 ",31361
"725","18009 ",18384
"726","18011 ",37829
"727","18013 ",39078
"728","18015 ",24664
"729","18017 ",30016
"730","18019 ",68099
"731","18021 ",38554
"732","18023 ",79589
"733","18025 ",25906
"734","18027 ",47838
"735","18029 ",50639
"736","18031 ",86205
"737","18033 ",68782
"738","18035 ",32875
"739","18037 ",26931
"740","18039 ",68214
"741","18041 ",41920
"742","18043 ",63758
"743","18045 ",32330
"744","18047 ",68826
"745","18049 ",51090
