"","Code","State","FIPS","Countynames"
"246","CA","California",6115,"Yuba "
"247","CO","Colorado",8001,"Adams "
"248","CO","Colorado",8003,"Alamosa "
"249","CO","Colorado",8005,"Arapahoe "
"250","CO","Colorado",8007,"Archuleta "
"251","CO","Colorado",8009,"Baca "
"252","CO","Colorado",8011,"Bent "
"253","CO","Colorado",8013,"Boulder "
"254","CO","Colorado",8014,"Broomfield County an"
"255","CO","Colorado",8015,"Chaffee "
"256","CO","Colorado",8017,"Cheyenne "
"257","CO","Colorado",8019,"Clear Creek "
"258","CO","Colorado",8021,"Conejos "
"259","CO","Colorado",8023,"Costilla "
"260","CO","Colorado",8025,"Crowley "
"261","CO","Colorado",8027,"Custer "
"262","CO","Colorado",8029,"Delta "
"263","CO","Colorado",8031,"Denver "
"264","CO","Colorado",8033,"Dolores "
"265","CO","Colorado",8035,"Douglas "
"266","CO","Colorado",8037,"Eagle "
"267","CO","Colorado",8039,"Elbert "
"268","CO","Colorado",8041,"El Paso "
"269","CO","Colorado",8043,"Fremont "
"270","CO","Colorado",8045,"Garfield "
"271","CO","Colorado",8047,"Gilpin "
"272","CO","Colorado",8049,"Grand "
"273","CO","Colorado",8051,"Gunnison "
"274","CO","Colorado",8053,"Hinsdale "
"275","CO","Colorado",8055,"Huerfano "
"276","CO","Colorado",8057,"Jackson "
"277","CO","Colorado",8059,"Jefferson "
"278","CO","Colorado",8061,"Kiowa "
"279","CO","Colorado",8063,"Kit Carson "
"280","CO","Colorado",8065,"Lake "
"281","CO","Colorado",8067,"La Plata "
"282","CO","Colorado",8069,"Larimer "
"283","CO","Colorado",8071,"Las Animas "
"284","CO","Colorado",8073,"Lincoln "
"285","CO","Colorado",8075,"Logan "
"286","CO","Colorado",8077,"Mesa "
"287","CO","Colorado",8079,"Mineral "
"288","CO","Colorado",8081,"Moffat "
"289","CO","Colorado",8083,"Montezuma "
"290","CO","Colorado",8085,"Montrose "
"291","CO","Colorado",8087,"Morgan "
"292","CO","Colorado",8089,"Otero "
"293","CO","Colorado",8091,"Ouray "
"294","CO","Colorado",8093,"Park "
"295","CO","Colorado",8095,"Phillips "
"296","CO","Colorado",8097,"Pitkin "
"297","CO","Colorado",8099,"Prowers "
"298","CO","Colorado",8101,"Pueblo "
"299","CO","Colorado",8103,"Rio Blanco "
"300","CO","Colorado",8105,"Rio Grande "
"301","CO","Colorado",8107,"Routt "
"302","CO","Colorado",8109,"Saguache "
"303","CO","Colorado",8111,"San Juan "
"304","CO","Colorado",8113,"San Miguel "
"305","CO","Colorado",8115,"Sedgwick "
"306","CO","Colorado",8117,"Summit "
"307","CO","Colorado",8119,"Teller "
"308","CO","Colorado",8121,"Washington "
"309","CO","Colorado",8123,"Weld "
"310","CO","Colorado",8125,"Yuma "
"311","CT","Connecticut",9001,"Fairfield "
"312","CT","Connecticut",9003,"Hartford "
"313","CT","Connecticut",9005,"Litchfield "
"314","CT","Connecticut",9007,"Middlesex "
"315","CT","Connecticut",9009,"New Haven "
"316","CT","Connecticut",9011,"New London "
"317","CT","Connecticut",9013,"Tolland "
"318","CT","Connecticut",9015,"Windham "
"319","DC","District of Columbia",11001,"Wash"
"320","DE","Delaware",10001,"Kent "
"321","DE","Delaware",10003,"New Castle "
"322","DE","Delaware",10005,"Sussex "
"323","FL","Florida",12001,"Alachua "
"324","FL","Florida",12003,"Baker "
"325","FL","Florida",12005,"Bay "
