"","State","summer_tmmx","winter_tmmx","summer_rmax","winter_rmax","Population","young_perc","median_perc","old_perc","poverty_perc","Median_HH_income","lowerthan_HS","with_HS","with_BS","BS_higher","black_perc","latino_perc","area","density"
"34","Ohio",84.4248696219628,43.1417587008676,88.4717636653377,87.3048787968747,23378884,0.0894407881939625,0.0654755023044797,0.0432895866988334,0.130715909090909,55374.9659090909,0.112886363636364,0.401420454545455,0.284045454545455,0.201636363636364,0.145,0.039,40948.4,570.935225796368
"35","Oklahoma",92.5098643530957,55.9167595734794,92.5455362874637,90.5520250959446,7886158,0.119220118813976,0.0819596218656219,0.0582384990361078,0.169103896103896,47492,0.140831168831169,0.36438961038961,0.301441558441558,0.193337662337662,0.095,0.109,68667.05,114.846320032679
"36","Oregon",77.6436621070563,44.5585986022683,78.7760605560581,91.6969304089431,8381426,0.104681984939572,0.0748816847442047,0.0572720556403821,0.141972222222222,54679.4722222222,0.111083333333333,0.283472222222222,0.367416666666667,0.237944444444444,0.032,0.133,95996.78,87.3094493377799
"37","Pennsylvania",82.3998742849284,41.4738121650193,88.4864351465876,84.7614220331361,25614120,0.0939761091631152,0.0701671688967348,0.0496497246197423,0.124611940298507,55861.8955223881,0.103761194029851,0.42110447761194,0.242716417910448,0.23234328358209,0.133,0.076,44816.64,571.531466883729
"38","Rhode Island",82.1825880429985,45.3444648347931,87.4454902385191,80.9276831029168,2114630,0.119567102280899,0.0847806206804908,0.0561725040390032,0.0954,73987.2,0.0916,0.2472,0.261,0.4004,0.102,0.159,1044.92,2023.72430425296
"39","South Carolina",92.3682392486562,59.9122455709252,95.405243855636,83.8149426832907,10168254,0.117760521173048,0.0880588628652715,0.063778796565051,0.192369565217391,46011.8260869565,0.162760869565217,0.343347826086957,0.290391304347826,0.203434782608696,0.283,0.058,30109.47,337.709498041646
"40","South Dakota",84.861657284744,33.1620384447906,88.2222767680437,87.4249009909927,1764470,0.115964466262391,0.0839270282032731,0.0645001459139863,0.159030303030303,51945.2121212121,0.102,0.346560606060606,0.319242424242424,0.232166666666667,0.031,0.041,73790.75,23.9118046638637
"41","Tennessee",88.5725162804314,52.0594348776353,96.5574048207314,87.6523563216356,13540020,0.0702916620010828,0.054011858305624,0.0380735436744875,0.168557894736842,47251.4526315789,0.169368421052632,0.398536842105263,0.261284210526316,0.170715789473684,0.181,0.056,41217.09,328.504996349815
"42","Texas",93.5798660555319,63.6089873664387,90.9012133854591,86.1146030375624,57403690,0.139363421698431,0.09180543731749,0.066550307837483,0.163925196850394,51302.2480314961,0.194787401574803,0.320066929133858,0.297976377952756,0.187141732283465,0.137,0.396,261797.14,219.267826990012
"43","Utah",83.797926773538,37.8613399512114,49.8498804794768,82.5031775064456,6322210,0.129255946550514,0.071494539968823,0.047547611755579,0.10651724137931,62675.1724137931,0.0828620689655172,0.28451724137931,0.374965517241379,0.257551724137931,0.021,0.142,82143.66,76.9652825306299
"44","Vermont",76.7272089400595,35.1184481347558,93.6831054274776,84.2648877046478,1252598,0.135155465635191,0.107924085100393,0.0724045369292073,0.110142857142857,58226.4285714286,0.0821428571428571,0.320357142857143,0.265785714285714,0.331714285714286,0.021,0.02,9249.58,135.422148897572
"45","Virginia",86.1036769181908,50.3261215776907,94.5563975544608,83.9557306669082,17035370,0.149242838893996,0.104875552571823,0.0712212729997893,0.130284210526316,60401.0421052632,0.141347368421053,0.3282,0.286242105263158,0.244273684210526,0.214,0.096,39584.05,430.359450334162
"46","Washington",75.6767479501799,42.747284840345,78.1276871951293,92.2276921055876,15071182,0.114210261037929,0.0805804585775948,0.0633733301801793,0.128307692307692,59598.1794871795,0.112487179487179,0.262666666666667,0.36148717948718,0.263538461538461,0.058,0.129,66544.05,226.48429123265
"47","West Virginia",83.4117727140823,45.6553689450614,92.0798650038533,87.5585671164178,3611664,0.0879833121773764,0.0684084167257222,0.05070965294969,0.1836,43184.2363636364,0.152763636363636,0.441781818181818,0.241509090909091,0.163909090909091,0.046,0.017,24077.69,150.000436088346
"48","Wisconsin",79.4989700460904,31.2818212091387,95.460621179737,87.5770257947684,11627136,0.109953547280898,0.0887871131379732,0.0631510027097424,0.108847222222222,58008.75,0.084,0.358083333333333,0.327152777777778,0.230652777777778,0.077,0.069,54310.11,214.087874246618
"49","Wyoming",81.4174009691803,36.1832289722763,70.475275822855,79.9221213076022,1155474,0.122542080564387,0.0890832150077857,0.0625325578818515,0.109260869565217,61964.4347826087,0.0727826086956522,0.301304347826087,0.372347826086957,0.253391304347826,0.02,0.101,97100.39,11.8997874261885
